2, GCOM-C SGLI  IR channel 2 from file JAXA_GCOMC_SGLI_TIR_RSR_V5.csv
Number of data points:
801
Wavenumber (cm-1)   Filter response
      841.396700       0.994207
      841.750800       0.998809
      842.105300       1.000000
      842.460000       0.998820
      842.815000       0.997594
      843.170300       0.996329
      843.525900       0.995023
      843.881900       0.993679
      844.238100       0.992305
      844.594600       0.990898
      844.951400       0.989458
      845.308500       0.987991
      845.666000       0.986493
      846.023700       0.985949
      846.381700       0.985741
      846.740100       0.985503
      847.098700       0.985222
      847.457600       0.984899
      847.816900       0.983579
      848.176400       0.982213
      848.536300       0.980797
      848.896400       0.979352
      849.256900       0.977885
      849.617700       0.976391
      849.978800       0.972603
      850.340100       0.968749
      850.701800       0.964896
      851.063800       0.961068
      851.426100       0.957270
      851.788800       0.953493
      852.151700       0.949730
      852.514900       0.945988
      852.878500       0.942246
      853.242300       0.938485
      853.606500       0.931013
      853.971000       0.915050
      854.335800       0.898967
      854.700900       0.882771
      855.066300       0.866415
      855.432000       0.849943
      855.798000       0.833365
      856.164400       0.816688
      856.531000       0.799909
      856.898000       0.783030
      857.265300       0.766058
      857.632900       0.747362
      858.000900       0.727966
      858.369100       0.708448
      858.737700       0.688801
      859.106500       0.669010
      859.475700       0.649077
      859.845200       0.628995
      860.215100       0.608752
      860.585200       0.588353
      860.955700       0.567796
      861.326400       0.548320
      861.697500       0.532197
      862.069000       0.515947
      862.440700       0.499067
      862.812800       0.482096
      863.185200       0.465039
      863.557900       0.447896
      863.930900       0.430670
      864.304200       0.413362
      864.677900       0.395973
      865.051900       0.378508
      865.426200       0.363036
      865.800900       0.347777
      866.175800       0.332459
      866.551100       0.317082
      866.926700       0.301654
      867.302700       0.286178
      867.679000       0.270653
      868.055600       0.255086
      868.432500       0.239476
      868.809700       0.223822
      869.187300       0.212202
      869.565200       0.203351
      869.943500       0.194459
      870.322000       0.185541
      870.700900       0.176597
      871.080100       0.167621
      871.459700       0.158612
      871.839600       0.149570
      872.219800       0.140493
      872.600300       0.131381
      872.981200       0.124252
      873.362400       0.120178
      873.744000       0.116088
      874.125900       0.111987
      874.508100       0.107874
      874.890600       0.103746
      875.273500       0.099605
      875.656700       0.095449
      876.040300       0.091275
      876.424200       0.087082
      876.808400       0.083227
      877.193000       0.080233
      877.577900       0.077191
      877.963100       0.074137
      878.348700       0.071072
      878.734600       0.067995
      879.120900       0.064912
      879.507500       0.061821
      879.894400       0.058723
      880.281700       0.055620
      880.669300       0.052922
      881.057300       0.051337
      881.445600       0.049749
      881.834200       0.048157
      882.223200       0.046561
      882.612500       0.044960
      883.002200       0.043354
      883.392200       0.041744
      883.782600       0.040128
      884.173300       0.038508
      884.564400       0.037079
      884.955800       0.036028
      885.347500       0.034953
      885.739600       0.033876
