17, goes_14_sounder_17.flt  GOESO_sdr_operational_srf_rev_F
Number of data points:
1197
Wavenumber (cm-1)   Filter response
     2471.400000       0.011257
     2471.500000       0.011412
     2471.600000       0.011571
     2471.700000       0.011733
     2471.800000       0.011900
     2471.900000       0.012075
     2472.000000       0.012258
     2472.100000       0.012451
     2472.200000       0.012651
     2472.300000       0.012857
     2472.400000       0.013068
     2472.500000       0.013282
     2472.600000       0.013497
     2472.700000       0.013711
     2472.800000       0.013926
     2472.900000       0.014141
     2473.000000       0.014360
     2473.100000       0.014584
     2473.200000       0.014812
     2473.300000       0.015047
     2473.400000       0.015288
     2473.500000       0.015534
     2473.600000       0.015786
     2473.700000       0.016041
     2473.800000       0.016301
     2473.900000       0.016564
     2474.000000       0.016830
     2474.100000       0.017098
     2474.200000       0.017369
     2474.300000       0.017642
     2474.400000       0.017917
     2474.500000       0.018193
     2474.600000       0.018472
     2474.700000       0.018756
     2474.800000       0.019046
     2474.900000       0.019343
     2475.000000       0.019649
     2475.100000       0.019965
     2475.200000       0.020290
     2475.300000       0.020622
     2475.400000       0.020959
     2475.500000       0.021299
     2475.600000       0.021641
     2475.700000       0.021982
     2475.800000       0.022325
     2475.900000       0.022672
     2476.000000       0.023025
     2476.100000       0.023385
     2476.200000       0.023756
     2476.300000       0.024139
     2476.400000       0.024533
     2476.500000       0.024938
     2476.600000       0.025354
     2476.700000       0.025779
     2476.800000       0.026212
     2476.900000       0.026653
     2477.000000       0.027102
     2477.100000       0.027555
     2477.200000       0.028014
     2477.300000       0.028476
     2477.400000       0.028941
     2477.500000       0.029408
     2477.600000       0.029881
     2477.700000       0.030363
     2477.800000       0.030860
     2477.900000       0.031373
     2478.000000       0.031909
     2478.100000       0.032469
     2478.200000       0.033050
     2478.300000       0.033648
     2478.400000       0.034258
     2478.500000       0.034876
     2478.600000       0.035496
     2478.700000       0.036115
     2478.800000       0.036737
     2478.900000       0.037367
     2479.000000       0.038008
     2479.100000       0.038664
     2479.200000       0.039342
     2479.300000       0.040043
     2479.400000       0.040768
     2479.500000       0.041515
     2479.600000       0.042283
     2479.700000       0.043070
     2479.800000       0.043875
     2479.900000       0.044697
     2480.000000       0.045533
     2480.100000       0.046384
     2480.200000       0.047246
     2480.300000       0.048120
     2480.400000       0.049004
     2480.500000       0.049897
     2480.600000       0.050803
     2480.700000       0.051727
     2480.800000       0.052672
     2480.900000       0.053644
     2481.000000       0.054647
     2481.100000       0.055685
     2481.200000       0.056759
     2481.300000       0.057871
     2481.400000       0.059022
     2481.500000       0.060213
     2481.600000       0.061445
     2481.700000       0.062714
     2481.800000       0.063997
     2481.900000       0.065269
     2482.000000       0.066501
     2482.100000       0.067667
