   1 , HJ-1B IRMSS  11.5microns
Number of data points:
354
Wavenumber (cm-1)   Filter response
      851.063800       0.757336
      851.788800       0.765973
      852.514900       0.774956
      853.242300       0.783939
      853.971000       0.793089
      854.700900       0.802238
      855.432000       0.811353
      856.164400       0.820468
      856.898000       0.828562
      857.632900       0.836656
      858.369100       0.844542
      859.106500       0.852429
      859.845200       0.860423
      860.585200       0.868416
      861.326400       0.876451
      862.069000       0.884486
      862.812800       0.892386
      863.557900       0.900286
      865.051900       0.914792
      865.800900       0.921827
      866.551100       0.928862
      867.302700       0.936220
      868.055600       0.943579
      868.809700       0.950259
      869.565200       0.956940
      870.322000       0.963327
      871.080100       0.969714
      871.839600       0.974753
      872.600300       0.979792
      873.362400       0.983879
      874.125900       0.987966
      874.890600       0.992115
      875.656700       0.996265
      876.424200       0.997066
      877.193000       0.997867
      877.963100       0.998851
      878.734600       0.999836
      879.507500       0.999918
      880.281700       1.000000
      881.057300       0.998801
      881.834200       0.997602
      882.612500       0.995985
      883.392200       0.994368
      884.173300       0.990823
      884.955800       0.987278
      885.739600       0.984047
      886.524800       0.980816
      887.311400       0.977654
      888.099500       0.974491
      888.888900       0.970874
      889.679700       0.967257
      890.472000       0.963141
      891.265600       0.959024
      892.060700       0.953226
      892.857100       0.947429
      893.655000       0.941698
      894.454400       0.935968
      895.255100       0.929999
      896.057300       0.924030
      896.861000       0.918006
      897.666100       0.911983
      898.472600       0.905973
      899.280600       0.899964
      900.090000       0.893562
      900.900900       0.887160
      901.713300       0.880738
      902.527100       0.874317
      903.342400       0.866552
      904.159100       0.858787
      904.977400       0.850773
      905.797100       0.842758
      906.618300       0.834765
      907.441000       0.826772
      908.265200       0.819093
      909.090900       0.811415
      909.918100       0.803838
      910.746800       0.796261
      911.577000       0.787803
      912.408800       0.779344
      913.242000       0.770561
      914.076800       0.761779
      914.913100       0.754158
      915.750900       0.746538
      916.590300       0.739351
      917.431200       0.732165
      918.273600       0.724965
      919.117600       0.717765
      919.963200       0.710200
      920.810300       0.702635
      921.659000       0.694823
      922.509200       0.687011
      923.361000       0.679345
      924.214400       0.671678
      925.069400       0.664177
      925.925900       0.656677
      926.784100       0.648729
      927.643800       0.640781
      928.505100       0.632962
      929.368000       0.625142
      930.232600       0.616715
      931.098700       0.608288
      931.966400       0.599527
      932.835800       0.590766
      933.706800       0.581587
      934.579400       0.572408
      935.453700       0.563019
      936.329600       0.553629
      937.207100       0.543849
      938.086300       0.534069
      938.967100       0.523805
      939.849600       0.513542
      940.733800       0.503363
      941.619600       0.493184
      942.507100       0.482782
      943.396200       0.472380
      944.287100       0.461752
      945.179600       0.451123
      946.073800       0.439303
      946.969700       0.427482
      947.867300       0.415706
      948.766600       0.403931
      949.667600       0.392647
      950.570300       0.381363
      951.474800       0.369987
      952.381000       0.358611
      953.288800       0.347328
      954.198500       0.336046
      955.109800       0.324924
      956.022900       0.313802
      956.937800       0.303135
      957.854400       0.292468
      958.772800       0.281943
      959.692900       0.271419
