1, GCOM-C SGLI  IR channel 1 from file JAXA_GCOMC_SGLI_TIR_RSR_V5.csv
Number of data points:
661
Wavenumber (cm-1)   Filter response
      919.540200       0.994340
      919.963200       0.993998
      920.386600       0.993586
      920.810300       0.993116
      921.234500       0.992653
      921.659000       0.992185
      922.083900       0.991740
      922.509200       0.991331
      922.934900       0.990940
      923.361000       0.990305
      923.787500       0.989505
      924.214400       0.988690
      924.641700       0.987865
      925.069400       0.987012
      925.497500       0.986124
      925.925900       0.985205
      926.354800       0.984331
      926.784100       0.983426
      927.213700       0.982131
      927.643800       0.980518
      928.074200       0.978893
      928.505100       0.977257
      928.936400       0.975615
      929.368000       0.973972
      929.800100       0.972328
      930.232600       0.970694
      930.665400       0.969067
      931.098700       0.967220
      931.532400       0.965226
      931.966400       0.963256
      932.400900       0.961315
      932.835800       0.959403
      933.271100       0.957528
      933.706800       0.955687
      934.142900       0.953885
      934.579400       0.952123
      935.016400       0.950369
      935.453700       0.948695
      935.891400       0.947044
      936.329600       0.945405
      936.768100       0.943778
      937.207100       0.942141
      937.646500       0.940498
      938.086300       0.938842
      938.526500       0.937168
      938.967100       0.936063
      939.408200       0.935021
      939.849600       0.933965
      940.291500       0.932894
      940.733800       0.931807
      941.176500       0.930693
      941.619600       0.929553
      942.063100       0.928378
      942.507100       0.927184
      942.951400       0.926103
      943.396200       0.924989
      943.841400       0.923885
      944.287100       0.922785
      944.733100       0.921684
      945.179600       0.920616
      945.626500       0.919583
      946.073800       0.918580
      946.521500       0.916558
      946.969700       0.913317
      947.418300       0.910073
      947.867300       0.906811
      948.316700       0.903483
      948.766600       0.900095
      949.216900       0.896611
      949.667600       0.893033
      950.118800       0.889372
      950.570300       0.880201
      951.022300       0.870112
      951.474800       0.860000
      951.927700       0.849890
      952.381000       0.839821
      952.834700       0.829783
      953.288800       0.819807
      953.743400       0.809886
      954.198500       0.797114
      954.653900       0.778418
      955.109800       0.759750
      955.566200       0.741107
      956.022900       0.722485
      956.480200       0.703873
      956.937800       0.685290
      957.395900       0.666747
      957.854400       0.648251
      958.313400       0.626062
      958.772800       0.603337
      959.232600       0.580691
      959.692900       0.558119
      960.153600       0.535597
      960.614800       0.513123
      961.076400       0.490676
      961.538500       0.468251
      962.001000       0.446999
      962.463900       0.427069
      962.927300       0.407163
      963.391100       0.387290
      963.855400       0.367450
      964.320200       0.347651
      964.785300       0.327887
      965.251000       0.308154
      965.717000       0.289188
      966.183600       0.275002
      966.650600       0.260827
      967.118000       0.246660
      967.585900       0.232499
      968.054200       0.218351
      968.523000       0.204216
      968.992200       0.190099
      969.461900       0.176001
      969.932100       0.166345
      970.402700       0.157359
      970.873800       0.148386
      971.345300       0.139430
      971.817300       0.130485
      972.289700       0.121549
      972.762600       0.112622
      973.236000       0.103705
      973.709800       0.097288
      974.184100       0.092087
      974.658900       0.086891
      975.134100       0.081702
      975.609800       0.076520
      976.085900       0.071348
      976.562500       0.066189
      977.039600       0.061045
