2, METOP-2 Channel 2 visible original file:  metop_a_doc_itt/A305 Calibration data/Spectral_Response/A305C002.INP
Number of data points:
1080
Wavenumber (cm-1)   Filter response
     9995.000000       0.123326
    10000.000000       0.141617
    10005.000000       0.162609
    10010.000000       0.185922
    10015.000000       0.211043
    10020.000000       0.237468
    10025.000000       0.264701
    10030.000000       0.292245
    10035.000000       0.319610
    10040.000000       0.346301
    10045.000000       0.371870
    10050.000000       0.396073
    10055.000000       0.418721
    10060.000000       0.439615
    10065.000000       0.458552
    10070.000000       0.475315
    10075.000000       0.489681
    10080.000000       0.501416
    10085.000000       0.510350
    10090.000000       0.516762
    10095.000000       0.521088
    10100.000000       0.523753
    10105.000000       0.525176
    10110.000000       0.525771
    10115.000000       0.525946
    10120.000000       0.526111
    10125.000000       0.526643
    10130.000000       0.527644
    10135.000000       0.529054
    10140.000000       0.530812
    10145.000000       0.532860
    10150.000000       0.535141
    10155.000000       0.537599
    10160.000000       0.540179
    10165.000000       0.542827
    10170.000000       0.545517
    10175.000000       0.548252
    10180.000000       0.551034
    10185.000000       0.553869
    10190.000000       0.556760
    10195.000000       0.559712
    10200.000000       0.562731
    10205.000000       0.565821
    10210.000000       0.568981
    10215.000000       0.572193
    10220.000000       0.575439
    10225.000000       0.578700
    10230.000000       0.581956
    10235.000000       0.585189
    10240.000000       0.588380
    10245.000000       0.591509
    10250.000000       0.594558
    10255.000000       0.597518
    10260.000000       0.600382
    10265.000000       0.603143
    10270.000000       0.605793
    10275.000000       0.608326
    10280.000000       0.610733
    10285.000000       0.613005
    10290.000000       0.615132
    10295.000000       0.617117
    10300.000000       0.618977
    10305.000000       0.620728
    10310.000000       0.622389
    10315.000000       0.623975
    10320.000000       0.625502
    10325.000000       0.626988
    10330.000000       0.628447
    10335.000000       0.629893
    10340.000000       0.631333
    10345.000000       0.632769
    10350.000000       0.634203
    10355.000000       0.635638
    10360.000000       0.637077
    10365.000000       0.638522
    10370.000000       0.639976
    10375.000000       0.641441
    10380.000000       0.642920
    10385.000000       0.644416
    10390.000000       0.645929
    10395.000000       0.647462
    10400.000000       0.649017
    10405.000000       0.650596
    10410.000000       0.652202
    10415.000000       0.653838
    10420.000000       0.655505
    10425.000000       0.657205
    10430.000000       0.658937
    10435.000000       0.660703
    10440.000000       0.662501
    10445.000000       0.664334
    10450.000000       0.666200
    10455.000000       0.668102
    10460.000000       0.670040
    10465.000000       0.672013
    10470.000000       0.674016
    10475.000000       0.676041
    10480.000000       0.678081
    10485.000000       0.680128
    10490.000000       0.682175
    10495.000000       0.684215
    10500.000000       0.686240
    10505.000000       0.688243
    10510.000000       0.690220
    10515.000000       0.692176
    10520.000000       0.694118
    10525.000000       0.696054
    10530.000000       0.697989
    10535.000000       0.699930
    10540.000000       0.701885
    10545.000000       0.703859
    10550.000000       0.705860
    10555.000000       0.707886
    10560.000000       0.709919
    10565.000000       0.711941
    10570.000000       0.713933
    10575.000000       0.715876
    10580.000000       0.717751
    10585.000000       0.719539
    10590.000000       0.721220
    10595.000000       0.722773
    10600.000000       0.724201
    10605.000000       0.725538
    10610.000000       0.726819
    10615.000000       0.728081
    10620.000000       0.729358
    10625.000000       0.730686
    10630.000000       0.732102
    10635.000000       0.733641
    10640.000000       0.735341
    10645.000000       0.737208
    10650.000000       0.739207
    10655.000000       0.741301
    10660.000000       0.743452
    10665.000000       0.745620
    10670.000000       0.747770
    10675.000000       0.749863
    10680.000000       0.751861
    10685.000000       0.753726
    10690.000000       0.755441
    10695.000000       0.757027
    10700.000000       0.758511
    10705.000000       0.759921
    10710.000000       0.761281
    10715.000000       0.762617
    10720.000000       0.763956
    10725.000000       0.765322
